Date,ALV.DE,BAS.DE,BMW.DE,DBK.DE,DTE.DE,EOAN.DE,GLD,IFX.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,SPY,^VIX
2019-06-19,156.0964813232422,42.73658752441406,45.48029327392578,5.813879013061523,12.620777130126953,7.617262363433838,127.88999938964844,13.609485626220703,176.71995544433594,19.527456283569336,106.20539093017578,80.59088134765625,264.7197265625,14.329999923706055
2019-06-20,156.2070770263672,42.97019577026367,45.73532485961914,5.663265228271484,12.567107200622559,7.583454608917236,131.11000061035156,14.105063438415527,176.64096069335938,19.467763900756836,107.78512573242188,80.72737884521484,267.24884033203125,14.75
2019-06-21,156.8338165283203,43.07325744628906,45.65031814575195,5.701815605163574,12.532951354980469,7.628018379211426,131.97999572753906,14.06534194946289,178.0629425048828,19.382492065429688,107.58538818359375,80.18141174316406,266.8605041503906,15.399999618530273
2019-06-24,156.98129272460938,42.63352584838867,45.08358383178711,5.622025489807129,12.48741340637207,7.5212202072143555,133.94000244140625,14.059667587280273,177.5099334716797,18.751474380493164,107.87591552734375,80.42405700683594,266.53369140625,15.260000228881836
2019-06-25,156.31768798828125,42.4205322265625,44.73645782470703,5.612164497375488,12.48741340637207,7.425947666168213,134.1999969482422,14.25449275970459,176.4829559326172,18.819692611694336,107.54907989501953,79.46862030029297,263.9195251464844,16.280000686645508
2019-06-26,156.76010131835938,42.681617736816406,45.74240493774414,5.825534343719482,12.417478561401367,7.37369966506958,132.97000122070312,14.186399459838867,176.4829559326172,18.453018188476562,107.58538818359375,78.66483306884766,263.65618896484375,16.209999084472656
2019-06-27,155.322265625,43.341224670410156,45.940765380859375,5.88291072845459,12.336159706115723,7.336820602416992,132.83999633789062,14.420947074890137,174.42898559570312,18.325109481811523,107.1314468383789,78.51317596435547,264.5911865234375,15.819999694824219
2019-06-28,156.31768798828125,43.918365478515625,46.11078643798828,6.07835054397583,12.37031364440918,7.3383564949035645,133.1999969482422,14.706567764282227,174.3499755859375,18.47860336303711,109.63722229003906,79.31695556640625,265.9527282714844,15.079999923706055
2019-07-01,157.93984985351562,43.94585418701172,46.11787033081055,6.055938243865967,12.39145565032959,7.38522481918335,130.6199951171875,15.321311950683594,175.92996215820312,18.683256149291992,110.99906158447266,80.3785629272461,268.3670654296875,14.0600004196167
2019-07-02,159.26708984375,43.10074234008789,46.28080749511719,6.053247451782227,12.381697654724121,7.499706268310547,133.41000366210938,15.241865158081055,178.53692626953125,18.981712341308594,112.12484741210938,79.62027740478516,269.06610107421875,12.930000305175781
